51 1521449281 0.388068 0.200000 0.388068 0.388068 0.030119
60 1521449281 0.147052 0.400000 0.069074 0.225030 0.011082
57 1521449281 0.093793 0.600000 0.041712 0.163136 0.006842
63 1521449281 1.194664 0.400000 0.869143 1.520186 0.613275
72 1521449281 0.149065 0.200000 0.149065 0.149065 0.004444
66 1521449281 0.000004 0.600000 0.000003 0.000005 0.000000
54 1521449281 0.143713 0.200000 0.143713 0.143713 0.004131
51 1521449282 0.388068 0.200000 0.388068 0.388068 0.030119
54 1521449282 0.143713 0.200000 0.143713 0.143713 0.004131
57 1521449282 0.093793 0.600000 0.041712 0.163136 0.006842
60 1521449282 0.147052 0.400000 0.069074 0.225030 0.011082
63 1521449282 1.194664 0.400000 0.869143 1.520186 0.613275
72 1521449282 0.149065 0.200000 0.149065 0.149065 0.004444
66 1521449282 0.000004 0.600000 0.000003 0.000005 0.000000
51 1521449283 0.388068 0.200000 0.388068 0.388068 0.030119
60 1521449283 0.147052 0.400000 0.069074 0.225030 0.011082
57 1521449283 0.093793 0.600000 0.041712 0.163136 0.006842
63 1521449283 1.194664 0.400000 0.869143 1.520186 0.613275
72 1521449283 0.149065 0.200000 0.149065 0.149065 0.004444
66 1521449283 0.000004 0.600000 0.000003 0.000005 0.000000
54 1521449283 0.143713 0.200000 0.143713 0.143713 0.004131
51 1521449284 0.388068 0.200000 0.388068 0.388068 0.030119
60 1521449284 0.147052 0.400000 0.069074 0.225030 0.011082
57 1521449284 0.093793 0.600000 0.041712 0.163136 0.006842
63 1521449284 1.194664 0.400000 0.869143 1.520186 0.613275
72 1521449284 0.149065 0.200000 0.149065 0.149065 0.004444
66 1521449284 0.000004 0.600000 0.000003 0.000005 0.000000
54 1521449284 0.143713 0.200000 0.143713 0.143713 0.004131
51 1521449285 0.388068 0.200000 0.388068 0.388068 0.030119
60 1521449285 0.147052 0.400000 0.069074 0.225030 0.011082
57 1521449285 0.093793 0.600000 0.041712 0.163136 0.006842
63 1521449285 1.194664 0.400000 0.869143 1.520186 0.613275
72 1521449285 0.149065 0.200000 0.149065 0.149065 0.004444
66 1521449285 0.000004 0.600000 0.000003 0.000005 0.000000
54 1521449285 0.143713 0.200000 0.143713 0.143713 0.004131
51 1521449286 0.178215 0.400000 0.152595 0.203835 0.012967
69 1521449286 0.168965 0.400000 0.087524 0.250406 0.014073
60 1521449286 0.054875 0.400000 0.047801 0.061949 0.001225
57 1521449286 0.196362 0.800000 0.046910 0.599585 0.074280
63 1521449286 0.244364 0.400000 0.228725 0.260003 0.023983
66 1521449286 0.000006 0.800000 0.000002 0.000008 0.000000
51 1521449287 0.178215 0.400000 0.152595 0.203835 0.012967
69 1521449287 0.168965 0.400000 0.087524 0.250406 0.014073
57 1521449287 0.196362 0.800000 0.046910 0.599585 0.074280
60 1521449287 0.054875 0.400000 0.047801 0.061949 0.001225
63 1521449287 0.244364 0.400000 0.228725 0.260003 0.023983
66 1521449287 0.000006 0.800000 0.000002 0.000008 0.000000
