Compiled Plan,Adhoc,1500288,20284
Compiled Plan,Prepared,214032,2551
Compiled Plan,Proc,55096,89
Compiled Plan,Trigger,13408,8
Extended Proc,Proc,32,4
Parse Tree,Check,128,4
Parse Tree,UsrTab,320,4
Parse Tree,View,6616,65
