Compiled Plan,Adhoc,1794392,25068
Compiled Plan,Prepared,216976,2577
Compiled Plan,Proc,56632,89
Compiled Plan,Trigger,13544,8
Extended Proc,Proc,32,4
Parse Tree,Check,128,4
Parse Tree,UsrTab,320,4
Parse Tree,View,6480,62
