Compiled Plan,Adhoc,1247304,16378
Compiled Plan,Prepared,180360,2125
Compiled Plan,Proc,55912,89
Compiled Plan,Trigger,13016,8
Extended Proc,Proc,32,4
Parse Tree,Check,128,4
Parse Tree,UsrTab,320,4
Parse Tree,View,6416,62
