117575457,DeliveryJob,1,38581
60,sysobjvalues,1,142
117575457,DeliveryJob,15,20
3,sysrscols,1,13
41,syscolpars,1,11
75,sysmultiobjrefs,1,6
34,sysschobjs,1,5
75,sysmultiobjrefs,2,4
55,sysiscols,1,4
7,sysallocunits,1,4
21575115,Page,2,4
54,sysidxstats,1,4
41,syscolpars,2,3
2137058649,PLut,1,3
21575115,Page,1,3
69,sysrts,3,2
7,sysallocunits,2,2
58,sysbinobjs,1,2
44,sysnsobjs,1,2
27,sysowners,1,2
97,sysbinsubobjs,2,2
19,sysfgfrag,1,2
58,sysbinobjs,2,2
24,sysprufiles,1,2
34,sysschobjs,4,2
85575343,ImageBox,2,2
29,sysprivs,1,2
74,syssingleobjrefs,1,2
5,sysrowsets,1,2
27,sysowners,2,2
97,sysbinsubobjs,1,2
69,sysrts,1,2
34,sysschobjs,2,2
64,sysclsobjs,1,2
69,sysrts,2,2
8,sysfiles1,0,2
55,sysiscols,2,2
64,sysclsobjs,2,2
23,sysphfg,1,2
49,sysxprops,1,2
74,syssingleobjrefs,2,2
27,sysowners,3,2
96,syssqlguides,1,2
85575343,ImageBox,1,2
53575229,Media,1,1
34,sysschobjs,3,1
2105058535,Session,1,1
98,syssoftobjrefs,1,1
54,sysidxstats,2,1
90,sysqnames,2,1
