60,sysobjvalues,1,29
3,sysrscols,1,10
41,syscolpars,1,8
2105058535,Audit_Log,2,6
7,sysallocunits,1,4
54,sysidxstats,1,4
55,sysiscols,1,4
2105058535,Audit_Log,4,3
41,syscolpars,2,3
27,sysowners,2,2
97,sysbinsubobjs,1,2
69,sysrts,1,2
34,sysschobjs,2,2
24,sysprufiles,1,2
34,sysschobjs,4,2
2137058649,QC_Log,1,2
19,sysfgfrag,1,2
58,sysbinobjs,2,2
5,sysrowsets,1,2
75,sysmultiobjrefs,2,2
44,sysnsobjs,2,2
34,sysschobjs,1,2
74,syssingleobjrefs,1,2
29,sysprivs,1,2
69,sysrts,2,2
8,sysfiles1,0,2
55,sysiscols,2,2
50,sysscalartypes,2,2
23,sysphfg,1,2
74,syssingleobjrefs,2,2
50,sysscalartypes,3,2
96,syssqlguides,1,2
7,sysallocunits,2,2
75,sysmultiobjrefs,1,2
58,sysbinobjs,1,2
44,sysnsobjs,1,2
97,sysbinsubobjs,2,2
54,sysidxstats,2,1
90,sysqnames,2,1
2105058535,Audit_Log,3,1
27,sysowners,3,1
34,sysschobjs,3,1
98,syssoftobjrefs,1,1
2105058535,Audit_Log,1,1
64,sysclsobjs,1,1
