DateTime,OS_Average Process %,OS_avaiable_memory MB,Process Process %,Process_UseMemory MB
2017/8/1 13:17:06,40.2,2057,0,113
2017/8/1 13:17:12,62,2056,12.5,343
2017/8/1 13:17:19,100,1955,1.75,182
2017/8/1 13:17:26,70,2026,0,118
2017/8/1 13:17:32,77.8,2078,5.25,117
2017/8/1 13:17:38,46.4,2034,6,122
2017/8/1 13:17:45,46.6,2088,25,155
2017/8/1 13:17:52,100,1957,0,141
2017/8/1 13:17:59,88.6,2012,8.25,130
2017/8/1 13:18:05,73,2072,15.25,130
2017/8/1 13:18:11,52.8,2033,5.5,129
2017/8/1 13:18:18,74.4,2088,24.25,161
2017/8/1 13:18:25,98.2,1957,0,141
2017/8/1 13:18:31,74.8,2004,13.25,131
2017/8/1 13:18:37,84,2067,0,141
2017/8/1 13:18:43,35.8,2066,0,130
2017/8/1 13:18:51,95.4,2025,14.25,356
2017/8/1 13:18:57,56,2020,0,134
2017/8/1 13:19:03,67,2002,0,130
2017/8/1 13:19:09,33,2024,0,131
2017/8/1 13:19:15,30.8,2082,0,130
2017/8/1 13:19:23,98.4,2025,25,164
2017/8/1 13:19:29,59,2011,0,138
2017/8/1 13:19:35,68.2,1996,6.5,131
2017/8/1 13:19:41,27.8,2015,13,132
2017/8/1 13:19:47,29.4,2076,5.75,132
2017/8/1 13:19:54,62.4,2017,10.75,357
2017/8/1 13:20:00,42,2017,0,139
2017/8/1 13:20:06,67,2009,2,131
2017/8/1 13:20:12,37,2017,0,132
2017/8/1 13:20:18,37,2077,5.5,131
2017/8/1 13:20:25,77.8,2019,11.25,358
2017/8/1 13:20:32,37.2,2011,0,135
2017/8/1 13:20:38,59,1988,0,132
2017/8/1 13:20:44,34.2,2004,0,133
2017/8/1 13:20:50,45.2,2069,3.25,132
2017/8/1 13:20:56,96.4,1890,3.5,359
2017/8/1 13:21:02,35.6,2003,0,137
2017/8/1 13:21:08,65,2032,0,134
2017/8/1 13:21:14,46.6,2012,15.5,135
2017/8/1 13:21:20,34.4,2063,0,133
2017/8/1 13:21:27,100,1995,6.25,358
2017/8/1 13:21:33,37,1987,0,140
2017/8/1 13:21:39,79.2,1987,17.5,134
2017/8/1 13:21:45,34,2010,8.5,133
2017/8/1 13:21:51,38.8,2060,0,133
2017/8/1 13:21:57,96.4,1890,4.75,360
2017/8/1 13:22:04,82.4,2001,0,140
2017/8/1 13:22:10,64,2031,0,4
2017/8/1 13:22:16,37,2000,15.5,133
2017/8/1 13:22:22,71.6,2045,0,133
2017/8/1 13:22:29,100,1920,1.5,359
2017/8/1 13:22:37,100,1984,8.5,134
2017/8/1 13:22:43,37,2046,0,134
2017/8/1 13:22:49,49.6,1997,0,135
2017/8/1 13:22:56,100,2046,0,137
