DateTime,OS_Average Process %,OS_avaiable_memory MB,Process Process %,Process_UseMemory MB
2017/6/19 9:24:28,1,2276,12,116
2017/6/19 9:24:34,0,2308,0,119
2017/6/19 9:24:40,3.6,2261,4,119
2017/6/19 9:24:46,4.8,2248,0,119
2017/6/19 9:24:52,17.2,2299,4.75,119
2017/6/19 9:24:58,17,2229,0,135
2017/6/19 9:25:04,26.2,2213,0,133
2017/6/19 9:25:10,4.4,2233,0,131
2017/6/19 9:25:16,40,2205,13.75,226
2017/6/19 9:25:22,59,2227,0,133
2017/6/19 9:25:28,41,2266,0,133
2017/6/19 9:25:34,10,2294,0,131
2017/6/19 9:25:40,68.4,2191,4.5,227
2017/6/19 9:25:46,7.6,2213,0,230
2017/6/19 9:25:52,10.6,2219,10,226
2017/6/19 9:25:58,4.4,2232,5,227
2017/6/19 9:26:04,60.6,2214,5.75,230
2017/6/19 9:26:10,30.8,2162,0,225
2017/6/19 9:26:16,7.4,2149,5,227
2017/6/19 9:26:22,9,2146,10,230
2017/6/19 9:26:28,7.6,2147,4.5,226
2017/6/19 9:26:34,94.8,2143,4.75,226
2017/6/19 9:26:40,28,2136,5,230
2017/6/19 9:26:46,7.4,2144,7.25,226
2017/6/19 9:26:52,4.4,2143,5,227
2017/6/19 9:26:58,19.8,2108,0,230
2017/6/19 9:27:04,7.4,2120,8.5,226
2017/6/19 9:27:10,3,2117,5,227
2017/6/19 9:27:16,0,2149,0,144
2017/6/19 9:27:22,26.4,2149,0,144
2017/6/19 9:27:28,0,2150,0,144
2017/6/19 9:27:34,0,2151,0,144
2017/6/19 9:27:40,0,2151,0,143
2017/6/19 9:27:46,0,2150,0,143
2017/6/19 9:27:52,0,2151,0,143
2017/6/19 9:27:58,25,2099,15.25,232
2017/6/19 9:28:04,7.6,2138,5,233
2017/6/19 9:28:10,1.4,2144,0,229
2017/6/19 9:28:16,4.4,2151,5,232
2017/6/19 9:28:22,12,2150,4.75,232
2017/6/19 9:28:28,13.8,2157,25,226
2017/6/19 9:28:34,15.2,2135,10,231
2017/6/19 9:28:40,36,2131,5,232
2017/6/19 9:28:46,40.2,2125,0,230
2017/6/19 9:28:52,9,2302,0,230
2017/6/19 9:28:58,2.6,2415,0,230
2017/6/19 9:29:04,0,2402,0,230
2017/6/19 9:29:09,27.4,2402,0,230
2017/6/19 9:29:15,0,2441,0,230
2017/6/19 9:29:22,75,2278,8.75,206
2017/6/19 9:29:27,6,2262,5,210
2017/6/19 9:29:36,23.2,2290,25,203
2017/6/19 9:29:42,5.2,2328,0,117
2017/6/19 9:29:48,5.2,2327,5,117
2017/6/19 9:29:54,51,2312,0,116
2017/6/19 9:30:00,0,2250,0,116
2017/6/19 9:30:06,13.8,2250,0,116
2017/6/19 9:30:12,0,2235,10,119
2017/6/19 9:30:18,0,2226,0,119
2017/6/19 9:30:24,1.2,2342,0,119
2017/6/19 9:30:30,0,2341,0,119
2017/6/19 9:30:36,6.2,2342,0,119
2017/6/19 9:30:42,26.2,2326,0,119
2017/6/19 9:30:48,0,2306,0,119
2017/6/19 9:30:54,67,2123,15,207
2017/6/19 9:31:00,10.6,2134,4.5,211
2017/6/19 9:31:09,39,2152,22.25,207
2017/6/19 9:31:15,29.2,2131,0,123
2017/6/19 9:31:21,8,2150,0,122
2017/6/19 9:31:27,28,2161,4,119
2017/6/19 9:31:33,18.2,2056,6.5,223
2017/6/19 9:31:39,43.4,2096,0,130
2017/6/19 9:31:45,2.4,2147,0,131
2017/6/19 9:31:51,6,2098,4.75,128
2017/6/19 9:31:57,42,2105,22.25,224
2017/6/19 9:32:03,27.8,2104,3.75,130
2017/6/19 9:32:09,6,2152,11.5,130
2017/6/19 9:32:15,13.8,2155,0,129
2017/6/19 9:32:21,35.6,2064,4,144
2017/6/19 9:32:27,23.2,2094,0,132
2017/6/19 9:32:33,9.2,2108,0,129
2017/6/19 9:32:39,15.2,2158,0,132
2017/6/19 9:32:45,3,2092,0,146
2017/6/19 9:32:51,46.6,2086,9.5,137
2017/6/19 9:32:57,27.6,2107,0,132
2017/6/19 9:33:03,4.6,2170,0,132
2017/6/19 9:33:09,3,2105,0,137
2017/6/19 9:33:15,29.4,2088,0,137
2017/6/19 9:33:21,0,2099,0,138
2017/6/19 9:33:27,0,2184,0,135
2017/6/19 9:33:33,27.6,2153,0,150
2017/6/19 9:33:39,6,2121,0,138
2017/6/19 9:33:45,51.2,2175,0,136
2017/6/19 9:33:51,10.8,2184,0,136
2017/6/19 9:33:57,53,2076,0,147
2017/6/19 9:34:03,35.4,2123,0,139
2017/6/19 9:34:09,4.6,2137,0,139
2017/6/19 9:34:15,0,2187,0,137
2017/6/19 9:34:21,6,2128,0,147
2017/6/19 9:34:27,23.4,2120,0,137
2017/6/19 9:34:33,5.4,2137,9.75,138
2017/6/19 9:34:39,1.2,2186,0,136
2017/6/19 9:34:45,18,2115,0,151
2017/6/19 9:34:51,27.2,2109,0,139
2017/6/19 9:34:57,3.6,2124,0,139
2017/6/19 9:35:03,9.8,2177,0,138
2017/6/19 9:35:09,11,2123,0,139
2017/6/19 9:35:15,30.8,2128,0,138
2017/6/19 9:35:21,11,2133,0,137
2017/6/19 9:35:27,9.8,2183,0,137
2017/6/19 9:35:33,38.8,2094,8.5,147
2017/6/19 9:35:39,30.8,2116,0,137
2017/6/19 9:35:45,3.6,2133,9.75,136
2017/6/19 9:35:51,8.4,2174,0,136
2017/6/19 9:35:57,14,2119,0,149
2017/6/19 9:36:03,36.6,2118,0,137
2017/6/19 9:36:09,6.4,2134,0,137
2017/6/19 9:36:15,0,2176,0,136
2017/6/19 9:36:21,2,2120,0,143
2017/6/19 9:36:27,32.8,2108,0,139
2017/6/19 9:36:33,6.6,2130,10,139
2017/6/19 9:36:39,23,2190,0,137
2017/6/19 9:36:45,1.4,2131,0,138
2017/6/19 9:36:51,25.2,2136,0,137
2017/6/19 9:36:57,4,2142,0,138
2017/6/19 9:37:03,2.4,2193,0,136
2017/6/19 9:37:09,10.4,2125,0,151
2017/6/19 9:37:15,17,2132,0,137
2017/6/19 9:37:21,36.4,2174,4.75,136
2017/6/19 9:37:27,0,2191,0,136
2017/6/19 9:37:33,24,2149,0,147
2017/6/19 9:37:39,12.6,2129,4.5,140
2017/6/19 9:37:45,43.8,2168,0,140
2017/6/19 9:37:51,2.4,2185,5,139
2017/6/19 9:37:57,24.4,2130,0,140
2017/6/19 9:38:03,33,2110,0,139
