DateTime,OS_Average Process %,OS_avaiable_memory MB,Process Process %,Process_UseMemory MB
2017/7/16 16:38:23,17,1973,7.25,170
2017/7/16 16:38:29,4.4,1927,6.5,245
2017/7/16 16:38:35,4.4,1918,6,250
2017/7/16 16:38:41,23,1881,0,321
2017/7/16 16:38:47,7.8,1898,0,321
2017/7/16 16:38:53,0,1850,0,397
2017/7/16 16:38:59,6,1847,7,399
2017/7/16 16:39:05,2.4,1861,0,398
2017/7/16 16:39:37,7.6,1821,0,404
2017/7/16 16:39:43,10.6,1828,0,407
2017/7/16 16:39:49,7.8,1831,0,405
2017/7/16 16:39:55,3,1836,0,407
2017/7/16 16:40:01,3,1821,11,405
2017/7/16 16:40:07,1.4,1832,0,408
2017/7/16 16:40:13,24.6,1821,6.5,409
2017/7/16 16:40:19,6,1823,6.5,408
2017/7/16 16:40:25,5.4,1846,0,409
2017/7/16 16:40:31,7.4,1834,0,409
2017/7/16 16:40:37,4.4,1839,0,408
2017/7/16 16:40:43,9,1825,7,407
2017/7/16 16:40:49,7.4,1834,5.75,408
2017/7/16 16:40:55,15,1825,4.75,410
2017/7/16 16:41:01,9,1824,6.5,410
2017/7/16 16:41:07,55,1930,0,167
2017/7/16 16:41:13,1.4,1929,0,129
2017/7/16 16:41:19,6,1926,0,128
2017/7/16 16:41:25,9.6,1952,0,124
2017/7/16 16:41:32,100,1744,0,388
2017/7/16 16:41:38,12.2,1888,16.25,134
2017/7/16 16:41:44,27.8,1893,7,129
2017/7/16 16:41:50,0,1936,7.5,128
2017/7/16 16:41:56,84,1824,0,393
2017/7/16 16:42:02,4.6,1883,6.25,138
2017/7/16 16:42:08,21.8,1911,7.5,134
2017/7/16 16:42:14,28.2,1871,0,133
2017/7/16 16:42:20,16.8,1878,0,133
2017/7/16 16:42:26,36,1930,25,135
2017/7/16 16:42:32,52.8,1763,25,395
2017/7/16 16:42:38,7.6,1865,0,137
2017/7/16 16:42:44,4.8,1909,0,134
2017/7/16 16:42:50,16.8,1876,7.25,135
2017/7/16 16:42:57,61,1911,20.75,141
2017/7/16 16:43:03,74.6,1746,0,145
2017/7/16 16:43:09,3,1848,0,1
2017/7/16 16:43:15,6,1887,0,135
2017/7/16 16:43:21,7.4,1844,0,135
2017/7/16 16:43:27,7.8,1902,0,135
2017/7/16 16:43:33,49.6,1738,0,402
2017/7/16 16:43:39,67.6,1849,0,137
2017/7/16 16:43:45,31,1872,0,134
2017/7/16 16:43:51,29.4,1865,0,135
2017/7/16 16:43:57,13.8,1906,0,134
2017/7/16 16:44:03,82.4,1730,0,403
2017/7/16 16:44:09,3,1852,0,139
2017/7/16 16:44:15,34,1870,0,138
2017/7/16 16:44:21,49.8,1868,18,138
2017/7/16 16:44:27,1.6,1887,0,138
2017/7/16 16:44:34,81,1744,0,404
2017/7/16 16:44:40,1.4,1841,20.25,146
2017/7/16 16:44:46,21.8,1869,0,140
2017/7/16 16:44:52,27.8,1842,0,136
2017/7/16 16:44:58,9,1896,0,135
2017/7/16 16:45:04,37.2,1707,0,400
2017/7/16 16:45:10,1.4,1839,0,142
2017/7/16 16:45:16,15.2,1836,0,136
2017/7/16 16:45:22,0,1887,0,136
2017/7/16 16:45:28,93.2,1697,12,403
2017/7/16 16:45:34,20,1828,18,137
2017/7/16 16:45:40,28.2,1860,0,137
2017/7/16 16:45:46,0,1836,0,136
2017/7/16 16:45:52,10.8,1898,15.5,137
2017/7/16 16:46:00,66.8,1833,0,143
2017/7/16 16:46:06,1.4,1833,0,141
2017/7/16 16:46:12,57.6,1828,0,138
2017/7/16 16:46:18,16.6,1839,0,138
2017/7/16 16:46:24,12.2,1838,0,141
2017/7/16 16:46:31,79.2,1876,1.75,149
2017/7/16 16:46:37,2.6,1820,0,142
2017/7/16 16:46:43,34,1812,0,144
2017/7/16 16:46:49,1.4,1833,0,141
2017/7/16 16:46:55,24.6,1831,6,138
2017/7/16 16:47:02,84,1822,20.25,407
2017/7/16 16:47:08,1.4,1831,0,145
2017/7/16 16:47:14,33,1852,0,142
2017/7/16 16:47:20,6,1837,12.5,182
2017/7/16 16:47:26,16.8,1884,0,143
2017/7/16 16:47:33,46.8,1822,5,408
2017/7/16 16:47:39,1.4,1837,0,141
2017/7/16 16:47:45,24.8,1856,0,140
2017/7/16 16:47:51,20,1833,0,151
2017/7/16 16:47:57,12.2,1880,0,141
2017/7/16 16:48:04,100,1814,0,402
